wvl,1,2,3,4,5,6,7,8,9,10
248.864,0.56741126313403345,0.67820226834191277,-0.94495458486107475,2.7638198698239114,2.7116285713207589,2.8383682400956673,5.2230080244456367,7.6375629622888637,19.000382739831426,24.52927788717696
248.91701,0.67351743382391782,0.81425076623558679,-1.3885315079943865,3.3644778973236722,3.0701392263364533,3.0947466564192259,5.7834839165368841,8.3598811121661534,20.730938573993555,27.025058808236622
248.96898999999999,0.69368772507379117,0.56202596565944529,-2.3320710799130819,3.0783205331494163,2.4591864080924011,2.2999490492185615,4.5758235235727245,6.5029799148447163,17.648944297698602,23.5264567240385
249.02298999999999,0.89163577436916353,0.56088421729061921,-4.0686911363906484,3.5754627306753495,2.0554283066420034,1.3939956457211267,3.2641685073380957,4.525710682815081,16.068547141491301,22.620681175003341
249.07599999999999,1.0609478798755438,0.83060805364497481,-4.8100439417272476,4.6937495012104815,2.7975342703038271,1.9694399896498007,4.4195929342770199,6.1209124872286562,19.944887187697702,28.020046776239475
249.12899999999999,1.2961646526007418,1.0018959074215674,-4.5345765357225272,5.9451016924395077,4.7205367027250826,4.3534711285583398,8.4437520470941507,11.618502491765279,29.706831895090517,39.640564437568415
249.17999,1.1902092084257534,1.0703400454463379,-3.3886821336562001,6.0601846697235748,5.4073030105214057,5.4274377199953987,10.14912474064146,13.924780358312756,32.263021393064903,42.0160396671561
249.23399000000001,1.1488909514231673,1.0241039037784549,-3.0110884166331382,5.9123740520135293,5.3281598849999687,5.3508964873713563,9.4950423583805517,12.700554668265973,29.190732809097398,37.926958409715823
249.28700000000001,1.2192572894981719,1.2836910206939391,-3.216734711832153,6.2079841178586168,4.7271776820596818,4.0326650010962544,5.8929634851347554,6.882138345126207,17.901246913551468,24.335515265965491
249.339,1.4763659188081419,1.7689828958176315,-3.9282850434296384,7.3611769530211761,4.8093944146822167,3.2933124152096296,3.2408367353423593,2.4050455589183546,9.9110080077000653,15.333434641056165
249.39301,1.7804636204330988,2.3676891747625119,-4.0984005605997389,9.341263814145691,6.1723036003005429,4.182125532359124,3.5353844881343726,2.0050839327970271,8.42608097304716,13.860243252727333
249.446,1.7616569745747659,2.3549772477164526,-2.7948608808541016,9.4367757947207664,7.1271977677874236,5.6899876289763265,5.9643461882021231,5.5544116902739553,14.334154687402847,20.302757109675287
249.49799999999999,1.0341112646275341,1.1411742908091842,-0.33622864850523482,5.4073922489423278,5.4043786279004884,5.5058210665646845,7.4968690862156544,9.0024938170789994,18.549825021662066,23.246954359199503
249.55199999999999,0.43296182037315484,0.7205795018194141,0.45895086207319691,2.4652021968174909,2.2654602963346484,2.2566752433575927,2.914341866690684,3.5663167689004465,8.7806040010646385,11.06124399517503
249.60499999999999,0.26001684748186971,0.63575603644311496,0.42179363899056732,1.2510611778630536,0.54002247611285759,0.15113941793781602,-0.65704636726965915,-1.0618941942879561,1.1888619376945886,2.0829239741380965
