Sample,Spectrum,Fold,True_Comp,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
GBW07217A,2,5,0.95,6.7810756784103292,1.5828267064150712,4.0500076006684509,0.86041597227182898,0.76975537156675244,-0.096083656481077639,0.12402091793765635,-0.51772600768584631,-1.2423093598661108,-0.80476726065534976,-0.52718218669251726,-0.2683448301597231,-0.1099671471949506,-0.35431065377982307,-0.41605590547956872,-0.47654605738365596,-0.45042827625102433,-0.58361107295489134,-1.1169030064441809,-1.1910962837765879
GBW07217A,3,5,0.95,10.159211118646596,3.97326429196481,3.6157320017914376,-0.92445520519751767,-1.556422279757566,-1.4764351348927462,-1.9585396811456377,-3.56257269753835,-0.73850189705717639,-1.1117396010398206,-1.0627837372199416,-1.5715750169108365,-2.6395350233981532,-1.7306373187658455,-1.2598159550752577,-1.629525584251601,-2.1144158092579399,-2.8278804426305726,-2.5378521192323333,-2.394527493652749
GBW07217A,4,5,0.95,5.0252437258318281,-0.10746507977140496,3.2035744518187599,-0.024534317504572911,-0.52222785113384873,-1.0899553088375598,-0.49417434581886432,-0.39075052586716907,-1.196716215461656,-0.79955225866195256,-0.5011597308473128,-0.26332476683158212,0.23506492120477773,-0.074940791601095569,-0.20104123431951137,-0.21473836542064006,-0.47701955597796797,-0.80877769008927025,-0.61098246912045262,-0.79090122327308876
GBW07217A,5,5,0.95,6.7906587525672171,1.393439306502728,3.8213371997051251,0.24652398591920566,0.16618821252384386,-0.73618024314613884,-0.60646674804561584,-0.99267666037340874,-1.7902058858671666,-1.0893264146361759,-0.77204713318640117,-0.25117634993766025,-0.061940580134072221,-0.38087973070570236,-0.50399715364021347,-0.6277068315928549,-0.51724509589289802,-0.62592085016432186,-1.3417095193697648,-1.2687307465776865
GBW07316,1,4,31.6,15.313712325139207,21.626502479230311,25.880553741284309,28.346392740066058,25.338470800839467,27.780855636275334,27.248183819476534,26.809637641126166,26.681497715963104,26.879692137168437,26.547015247260752,24.440693231494762,22.837758483850543,22.18085791099363,22.268635122566373,22.884510522416633,22.682873613049118,22.784821444137997,22.948191501410072,23.509497113949379
GBW07316,2,4,31.6,16.315211866260377,22.017933442831733,25.932298931806187,28.387344290325942,25.247503056587441,27.749446654829686,27.392427455795399,27.068332406428979,26.889652158545033,27.219443584368683,26.981330641621344,25.019936274852398,23.477086742637908,22.524895240249052,22.47212804886421,22.856012260280352,22.62429937209388,22.695981868708479,22.75324366036687,22.865455988352032
GBW07316,3,4,31.6,15.45680069035744,21.822294136810427,25.855460934998497,28.236034547378488,24.935094554895578,27.367690195654006,26.928153999073984,26.593050776183247,26.455183278410914,26.678376170331159,26.384910827618803,24.360403026331049,22.784029300676206,22.175521269440672,22.143097352946583,22.60818939251498,22.24717570136486,22.323002687439732,22.479000718549521,22.812915971320386
GBW07316,4,4,31.6,14.903438044958742,21.205488483246185,25.565437272914448,28.198522480632548,25.57530537286824,27.909736986014479,27.483055891373034,27.0752801448218,26.98959605343974,27.132505094652547,26.861396050077623,24.838834794949193,23.239704129470589,22.402161487790522,22.343268654211325,22.857212678042742,22.547998543643981,22.651730813137284,22.778166790830021,23.34472095964496
GBW07316,5,4,31.6,15.400737250446609,21.605463927268875,25.976067877563864,28.5572235586929,25.924845507221711,28.238595860994899,27.895811672243287,27.55799038552373,27.490609109327643,27.776424772773577,27.495979889051789,25.566972532965934,24.052010795533405,23.36612232308126,23.35221286941205,23.855223194112526,23.526518563367446,23.614564353432137,23.749879196770745,24.29664594409082
GYPB,1,4,1.05,3.9017518144508632,4.9302275803034927,4.3919384875545564,3.8036447851514623,3.3518961359882429,2.2793327458462258,-0.19778358451438827,-0.4115310182404972,-0.20546816884062657,1.2856733265539244,2.7599153063726245,3.3962162296827287,3.0647902654320749,3.2117312702389338,2.6691118826958764,1.8501325726063147,1.7738768797075561,1.9339487932149648,1.9392997782974941,2.4442348328278261
GYPB,2,4,1.05,3.8879100608478634,5.2827644934613538,4.5513461662369927,4.1902733103617145,3.6678926847089688,2.364661415191863,-0.20441781065933995,-0.41093078068298539,-0.25004589343963524,1.3531889788941758,2.8326685174045458,3.1482844408575996,2.8358459416112396,2.9790095310378177,2.4367989827968071,1.4918336895895621,1.4497458857062728,1.6097422842853977,1.7283426731199718,2.4337407990801658
GYPB,3,4,1.05,4.0617463553114437,4.6422587535812756,4.4590014617260891,3.646670988007072,3.2992162602593123,2.362026940070642,-0.10496881417002868,-0.32798414784555341,-0.17013535401011204,1.4657260523194555,2.9705391612717413,3.4395713862737729,3.1799060233204752,3.5573507984630659,3.1487486730227516,2.2813676818613811,2.1474819918305048,2.3296822327108409,2.3801870447630264,2.9923150478363425
GYPB,4,4,1.05,2.6433569318059931,3.4040529194725337,3.0715759298355518,2.2830008099990931,1.6840750983739916,0.71721855621269803,-1.8480775101338534,-2.0836977974862343,-1.8221267165287536,-0.41860236178812649,1.1350682563982719,2.021537803743545,1.6670091575375157,2.2125710646984391,1.667270527023069,1.1826836830602119,1.1688423976577766,1.3749402502282475,1.4338999655377265,2.1822808016954216
GYPB,5,4,1.05,4.5605286158580025,4.4712947267365664,4.6298004139442082,3.6664760533301219,3.3552998936866256,2.2697684142803851,-0.40594747808328435,-0.72580349454404214,-0.58664038412533159,1.0527525395772521,2.5429461337930128,3.3267233653518744,3.0349788544920706,2.8457394385659711,2.150983009426831,1.1492089782894741,1.0892680033119895,1.2216383278713394,1.0815163399121719,1.5416020696701622
GYPC,1,4,3.5,6.2628516801964027,4.1063209036031338,7.3055425037340278,6.543115105126752,6.0644213693633837,5.8582199632149177,3.9914905971112251,3.6895975620200545,3.8020420544146702,3.5219099029104513,3.7376332779375492,3.6388185315184991,3.1092262874927385,3.0066525326101434,2.3963508576123118,2.329794587221528,2.1260854420870992,2.2079137584040467,2.183212723917169,2.2608388163654922
GYPC,2,4,3.5,5.4631765893859363,5.1758949435633088,6.9975256869221782,6.6624240203863687,6.1822884957965405,5.3898346114540505,3.2471154954588251,3.0085089236975744,3.1603668472799349,3.8503525649891195,4.7182145308822783,4.8319067115062424,4.3888392809669519,4.3990038772363995,3.6903041280958515,3.2636876649935935,3.0537050457595232,3.1220133352669315,2.9790271878372003,3.1728571702855337
GYPC,3,4,3.5,4.3403079999669014,3.9287006236865505,5.500477002164267,4.8511251596777285,4.3261346323318648,3.6146560141166226,1.2638098180860844,0.99190361448054354,1.2041674885866271,1.8883177757062484,2.8908130459755021,3.3848472061165982,2.8971242899248946,3.0230611261148503,2.3186875724528218,1.9418647618868903,1.7490076673475574,1.8877882667757149,1.7853165514073055,2.0810875713354413
GYPC,4,4,3.5,5.6523031277444211,4.7095183033222963,7.11338236911394,6.7106516313675586,6.1886774019038153,5.4827154057065712,3.3843109510545233,3.1176486669604433,3.2104143455113441,3.6740884387426824,4.318311719649305,4.127620444458703,3.6622277357494131,3.7462836323191535,3.0105308121066248,2.628609681715913,2.3539397299245852,2.3893286531759461,2.2705257017076637,2.319744885702983
GYPC,5,4,3.5,5.3802990052794577,4.0469063772861738,6.6182954899862541,6.079043361664068,5.4463265979374498,4.6753559243653733,2.367134999647412,2.1175980510390815,2.2666288108157424,2.6358417769587046,3.331784390560026,3.4423154606547577,2.9613118255092648,2.9828120509748555,2.2187063811194925,1.8425644719987346,1.6558229781217086,1.7413246031727905,1.6891273348143425,1.8838392103758945
GYPD,1,4,8.7,11.384508168667757,15.44132547806262,19.028752849487066,20.79931643627495,21.689931739598375,21.622392748257095,20.917209332087268,20.674005863513614,20.764745085108,21.643721105307346,22.016207804749989,21.132849454632492,20.528349252326546,19.736087507877638,19.48918947099974,18.402704772271512,17.693441866539562,17.764908917716181,17.133407327711634,17.119935472766226
GYPD,2,4,8.7,8.1291547753713935,12.219417860636993,13.239386384567002,14.293345352399943,14.23607216338697,13.436364388861872,11.531641905369279,11.513350732818363,11.715432109971019,13.255131104955266,14.506988090216691,14.18162144878125,13.788904321132742,14.149346070184828,13.938186816634614,13.356785667530701,12.916382446432159,12.96920199812843,13.129299217102835,13.253340495129994
GYPD,3,4,8.7,9.4704406618593922,15.492900012297037,16.345915055170728,17.922068379354105,17.771664158260901,16.834784912889333,16.148634779300266,16.475721419696526,16.917935369572945,18.150556911024456,19.719730332057829,20.292161762703838,19.937286653799852,20.859859211642721,20.861799900507144,20.496439575131962,20.20925495823953,20.269443349723247,20.792426393534836,21.409734784209761
GYPD,4,4,8.7,6.922691678262173,11.092533596878205,11.548220847209857,12.399643633647587,12.156831301308671,11.37582715885782,9.5782742139348152,9.6559021252457331,9.9983084827711686,11.347241549414337,12.766085863302862,13.02413471992077,12.605905456610332,13.217894219638827,13.03102772618438,12.686244053891421,12.423125451238729,12.552599274833737,12.860203717710259,13.436271742804939
GYPD,5,4,8.7,7.7927851352595168,12.183245270197347,12.581866470105799,13.539132399983218,13.555943959708911,12.843806813554611,11.086702866025815,11.026946328591011,11.24929966975105,12.754484351988863,14.080750813629717,14.095165685222339,13.845402598450713,14.339397768770299,14.236273826808864,13.852064381725381,13.575489628358135,13.664430978794385,13.865761891785565,14.184877573615225
MHC3828,1,5,9.44,7.9257359890157666,10.365255069335392,11.853814961521431,11.926132050406522,12.028047789517295,11.2001656955035,9.9202636591805646,10.504227705782098,11.296592211785716,11.077109033470721,10.682372668823346,10.596602313816717,10.096071293588322,9.9401258730179354,10.105362357648715,10.275452461231051,10.348164902428298,10.213895689031281,10.137501428954049,9.9227690669608748
MHC3828,2,5,9.44,4.6497284627564284,7.4880806211425837,7.6126143450037427,7.9820572325413126,7.9175746153614757,6.7946595823970908,5.8226498859923783,6.9286962584843392,7.7390230639410218,7.7807297624490861,7.4582619153956902,7.6000629752977744,7.2751799632624099,7.4151267555298137,7.4906139111456582,7.8969324460012134,8.3280248596487354,8.5840936012091404,8.6825772618501951,8.7644199601793567
MHC3828,3,5,9.44,7.718861013509863,10.423781956013508,12.340471631880902,12.525770179877908,13.201669007514084,12.605493676580068,11.475645868874855,12.398754372194132,12.691638637860876,12.617603380008328,12.205886559318012,12.245028283887253,11.870642410653335,11.614977357010074,11.632252842409345,11.698001086579019,11.846435997697006,11.893739297301181,11.643240713518781,11.455944560770527
MHC3828,4,5,9.44,5.3443863823183655,7.8884356670286193,7.1419274502525765,7.349874741323517,7.3146141734281551,6.1316755894575783,5.2140971112255876,5.973203831842973,7.22072524500234,7.2241547816825245,6.8816276302109856,6.9322861899961321,6.1423377976756868,6.4277209336852037,6.5349529051481854,6.7689467671880106,7.1926920408130988,7.2041012570426677,6.9028330286710657,7.1773188981765736
MHC3828,5,5,9.44,8.3164044487927562,10.705456745487387,12.165198808929709,12.196422432140409,12.538448589952401,11.769844608209459,10.386095685295496,10.890633698228514,11.782402478422322,11.552777328616033,11.138370070327076,10.994849881169946,10.400277563319328,10.176006488383756,10.277271403495822,10.178253516493646,10.216824785858439,10.005938484454798,9.6674223431722091,9.3724224145765831
NAU2MEDS,1,1,37.48,22.130011002745434,30.647935685149339,32.683175766043448,34.466996667142354,34.946565912056911,34.044091127349475,34.491572219260519,31.173409076406468,30.254922285390908,28.39613481862493,29.024938198057548,29.315760857778685,28.483335757631579,27.181059068294374,25.621249995407371,24.701024404506754,24.603910489587278,25.166070795632226,26.745014324239008,25.751595390645097
NAU2MEDS,2,1,37.48,23.274214001524207,31.463260218481306,32.976037324730612,34.4300246273298,35.100922458110574,34.14263734898914,34.171455495761151,29.98691995681445,28.703738569378153,26.809226403287035,27.307398361640999,27.695424809583088,27.237368380248625,26.216368677893051,24.959509543553779,24.023390062480274,23.810702134673527,23.92952961086807,25.526446757876464,24.672739957115915
NAU2MEDS,3,1,37.48,21.798150797302728,30.765375568168377,32.500638862865344,34.225177096450054,34.050542258299117,33.407710889731305,34.060375178062181,31.575568425365706,30.382897084605002,28.17809173635375,28.598702383682348,28.633668468625174,27.818112044924096,27.007373026980446,26.09285781403328,25.249207832121108,24.761184023842461,24.72417972361864,26.278584519668769,25.294313798223229
NAU2MEDS,4,1,37.48,22.305722962604335,31.169224635650405,33.19193823790566,35.084768796185855,35.610338017931184,34.641188962304035,35.000019459313947,31.056525806752301,29.895886033039478,27.912298599701423,28.494671376100015,28.763191244099893,27.874879536346597,26.359912254773441,24.375667039838767,23.162553236623225,22.758439733344758,23.121290867444621,24.702809520399235,23.480060398905735
