Sample,Fold,True_Comp,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
BHVO2,4,49.9,48.543382495722113,47.959276163496007,47.671074426396324,49.228962350854076,47.967403252670024,46.921955354726485,46.751222064629381,49.009506335094159,48.846592667639726,47.799767414007292,46.747983155678746,46.293657838795014,47.151537782595689,47.055959406489791,47.388770841341334,48.159850687386303,48.108398716809937,48.032697383886159,49.168284599928626,49.746894431823492
BHVO2,4,49.9,48.397894488931669,47.426556187387519,47.077608998470538,48.797403183897693,47.936388130178408,47.438924918747027,47.276235371255289,49.389804622140893,49.304404516278716,48.429311361649432,47.870712530249527,47.69120987538281,48.704333562014071,48.227895697445504,48.430576236303125,49.502808204020809,49.645364568919256,49.606876652771795,50.809307305994267,51.791267782824541
BHVO2,4,49.9,48.73789697223026,48.081462686275984,47.388722994663766,49.40932224625606,48.549451488143504,47.763438160064034,47.67560324331216,49.816017435609858,49.276252351871229,47.536031108326824,46.210812619359615,45.474407441216158,46.764892992919172,47.422204304861779,48.184625618597842,49.182747049986929,48.645899123758362,48.353753623696356,49.097601111506336,49.893019345964483
BHVO2,4,49.9,48.589578337524415,47.974494789741428,47.706178598871077,49.437246301302913,48.440734036884159,47.853969949294921,47.507060241672221,49.227521759214156,48.982199062974985,47.553897657467765,46.856780268534081,46.694230307641014,47.880287103593801,47.45272794624811,47.79931389654066,48.962794634143528,49.219997906708656,49.091392468261802,50.019604226699371,50.71936728448086
BHVO2,4,49.9,48.447298043531724,47.977086607222859,47.79688308901396,49.68146436647131,48.567194536752673,47.869576291808002,47.752997207435726,49.718034501446589,49.395960392848281,48.082399845159642,46.644339783567197,45.882907177648974,46.751956151307951,46.523810073779174,47.082212488436134,47.99568799758061,48.004114203319702,47.985053525460991,49.08706952530315,49.701325900634544
BIR1A,4,47.96,48.183925224009528,49.909436430378079,47.032031150349837,47.309564588638523,46.351831441662746,43.809429420129796,44.821495377970002,45.910964361333086,46.186695979672194,47.432488818256125,47.407377522502671,47.031884928022571,47.621527530652315,48.194592398626654,48.627091150579446,49.487050090913769,48.357614008040187,47.860101249071967,49.04058386062863,49.837661976714145
BIR1A,4,47.96,48.060450723915721,50.256215763671243,47.028931749513333,47.597530992893397,46.815034467559123,44.723519676268758,45.528848461645758,46.461114816798684,46.646619691944899,47.649044846013396,47.840697155734397,47.902780935554851,49.232754821919386,49.210469952155613,49.158823524560042,50.051844340710488,49.601314647110073,49.68295870712042,51.440827935138287,51.908971880840411
BIR1A,4,47.96,49.095994576183088,49.623752246593334,46.597496757680801,47.186157053762322,46.263893881128169,44.053316037183855,44.891917395143651,45.843229052353806,46.567359824241848,48.278324271811414,48.525108176226084,47.892082454586507,48.595148408253479,48.898587952567837,48.989786327466604,49.826857630120827,49.532316493473246,49.177534092392008,50.633245379441078,51.22456778504894
BIR1A,4,47.96,51.425664187126856,50.02049191305646,46.334297181882974,47.445866208393525,47.114089254755008,44.984803954303871,45.471555959151289,45.851705114573562,46.946711175431219,48.347613713191279,47.689144877897895,46.469512587557574,47.043350670718439,47.779204535526269,47.960211671976843,48.8531636807014,49.219842041183959,48.861611429072155,50.401589491652686,50.814624709267328
BIR1A,4,47.96,47.891169612218064,49.112546923507409,45.198723757367404,45.654172982979226,44.774624110435617,43.25790874229309,44.540712377832271,46.043329129172747,46.821853660589767,48.267308577581773,49.089829993204347,48.084358413168076,48.806721925808404,49.437250350120109,49.892030948537545,50.683362637340302,50.630123375263942,50.709059475985484,52.532998262089471,53.680535035651225
BK2,3,58.83,56.334688180573814,51.434065030454356,50.050846250005719,53.882057920772461,52.894835577178121,49.046890570442244,49.175784788413395,53.254000378471716,52.191816878783918,51.416162450888557,51.75887541453514,51.124367163133513,50.415289411391953,49.683297421219152,49.814620701498768,49.261954817306176,48.619153913771555,48.444687559909639,48.119114457090461,46.863440636657721
BK2,3,58.83,52.503162791311446,48.083848572581616,51.394535255685426,56.106022119060114,52.846460884884728,53.788603444272688,52.357494138827477,55.38636985700569,54.644124516663808,53.577241878556379,54.266686589097766,54.132610015355958,57.020061453292008,57.339970983193929,57.294676477294985,56.99684158716591,55.21589368032047,53.578467986439989,52.903973783121138,52.746681505755561
BK2,3,58.83,49.952844152822841,55.315086817865705,57.735058453689341,60.94960116978271,62.281250156088234,62.800224407514904,63.632109975658068,63.875055283328152,63.956099372767063,63.205121152539412,63.356072827736682,62.959388137801568,63.660098019437484,62.790517542709722,62.660258881977093,62.794358932229116,62.918029850062247,62.77289315460996,62.059902848645301,61.536936068009474
BK2,3,58.83,56.86939609918123,53.325542955393111,52.069889817623306,56.148405549337006,54.735825021317893,51.064783787499707,50.778802846412169,54.358135579387323,53.590802102814685,53.375777353453422,54.0051201561377,53.587823442779346,52.506140622721105,51.273327124146746,50.679966595300371,49.283669941706627,49.534363633275092,49.450165808003156,48.38432281594708,47.541842853276236
BK2,3,58.83,55.378344555565789,52.980491581876898,52.395749940719753,56.282534368791147,54.868914437652826,51.844146714495274,51.520912097740371,53.889753574661682,53.838054488384401,53.380550289205509,53.217092782187251,52.622841778521156,50.59639151005949,48.692945960832219,48.039584482570831,47.073641356548706,48.166082878411927,48.080245962269125,46.89757944355518,46.341832891237807
BT2,4,48.57,52.539819266180238,51.658021520297083,48.117185742415067,49.326743977785348,50.751486189171793,49.034526215160682,49.104275402297866,51.405996467067098,53.406951895375883,54.753198599042165,54.666274217532582,54.160044234732382,53.804595669916012,53.773023726278829,53.62849352485258,54.15933958414827,54.133175374799464,53.953773347342342,54.474136453417422,54.421960755664578
BT2,4,48.57,49.90991341587069,51.371261139453601,49.185447287012479,51.184849697746458,51.218222436887501,49.953573836472223,50.009248431746506,51.422089224005546,51.608864692064863,51.364214585217816,50.508260398713411,51.00046794842217,51.418974521813077,51.254593633321392,51.618096904368215,52.447617139270456,51.629720296135169,51.402508425162274,52.485291406612077,53.494346733972307
BT2,4,48.57,50.188205919944686,52.155912462294197,49.941362065786912,51.912752704242649,52.238495794275806,50.510943213891586,51.030557987680595,51.848323884318077,52.140465410805099,52.935293019424336,52.231006017053254,52.87334635151003,54.508469637592142,55.157171536926484,55.818173452977959,56.538253978270816,55.036332423879323,54.450144729142806,55.2179514853269,55.84116915986526
BT2,4,48.57,52.61215109946599,51.406880380824973,47.943707348330229,49.89495655885792,50.101121362434583,48.224738494420301,48.719629997864423,49.960157373699445,51.365351521436743,52.885213637388468,51.988892344423562,51.464371402445209,51.833122810424506,52.624182483591447,53.424043329735767,54.10432291223055,54.059962326100219,53.385402869537181,54.206606264649245,54.616179683690071
BT2,4,48.57,48.762273321406155,50.802611779568785,48.927354332882757,50.57773831155167,50.159042878526598,48.636731967172736,49.097667694163107,49.911029952646473,49.820139578730377,50.224479398731056,49.681118807093981,50.552168226908385,52.414009003270479,52.952654197577367,53.898039183125704,54.422960296338516,53.087289609122692,52.599054564668656,53.763026563798178,54.632265788249562
GBW07104,4,60.62,49.505637341045578,54.14429557836403,54.692359463970618,55.682178277749188,57.53319582721435,56.704912628146197,56.586079383035297,56.306309779668787,57.386420973891759,56.560832618289133,55.995202319685355,56.840481923244262,58.012434817111959,56.803823885581181,56.444376367307179,56.692615349794217,56.659157965755256,56.538397124264748,56.110829491996931,56.649854472506497
GBW07104,4,60.62,49.93799266002457,55.174996232485803,56.347386069586982,56.821495304581738,58.064626062910243,57.109551309240125,57.012034345939988,55.07342373960595,56.502390081133349,54.761164182878851,52.924516485990516,53.503466335024136,55.28514543165133,54.982529979720205,55.274953043014023,55.485558468260663,57.024026016541143,57.138423862259508,56.871674042148655,57.483022623412594
