Sample,True_Comp,1,2,3,4,5
GBW07305,56.44,51.423723598248422,50.993521523022778,51.088598979879265,54.821890962468096,56.447495448599675
GBW07306,61.24,52.58696231793008,56.384181965127659,57.615045759452244,57.637856970671955,58.877814306082726
GBW07306,61.24,51.980437435995121,55.582190481278779,54.088388761094215,54.239570977113466,55.258909467467269
GBW07306,61.24,51.262140750227005,55.26150310196266,55.982544704920954,55.789810640440869,57.048471372940817
GBW07306,61.24,53.810395871199646,58.687118281455781,60.670709858049925,60.178645863155005,61.18228013550187
GBW07306,61.24,53.01980733487293,56.815178241050617,59.607921823243089,59.168423608590253,60.042130146880453
GBW07311,76.2567,67.824906492884949,69.822211580064319,72.809402323509687,73.324778357008029,73.858582348016256
GBW07311,76.2567,67.251143483897422,70.436328981352958,74.542955917204409,74.588207974876937,75.062281643824775
GBW07311,76.2567,67.496963885237861,67.890957483014304,68.279944870743321,67.772220851244498,67.802110655375415
GBW07311,76.2567,67.799524609992886,69.721254859130312,71.535535002836752,70.300629970973404,70.564087041627999
GBW07311,76.2567,69.208258286910777,70.942033988337798,73.939109352164181,72.001217222303183,72.190448191002005
GBW07312,77.29,61.210991850359306,65.866921597564058,69.183653978870993,70.616424823527339,69.473805753702308
GBW07312,77.29,61.761620921376895,66.377024276964718,69.071876233832427,70.564564050962815,69.690174826946162
GBW07312,77.29,62.94804771293996,67.022383174688443,70.026459370472537,71.112964199449792,69.790432239318818
GBW07312,77.29,61.996081376020229,66.551037743679217,69.729739564162628,70.445510638973815,69.26448464941268
GBW07312,77.29,62.348086004327698,67.370715497842596,71.28517538145627,72.072940493732546,70.815895920180665
GBW07313,53.86,60.406633414161924,65.636472109564309,66.887854062443722,62.463825959911375,63.35502229308463
GBW07313,53.86,58.82813679923823,65.379462497084759,66.207306880218397,61.294372541546053,62.342579268800066
GBW07313,53.86,59.655006781586863,65.010167054634564,66.055993241996461,61.764439623067148,62.830987498727644
GBW07313,53.86,60.230644402716685,66.264637611519547,67.044708713177386,62.074316338782609,63.272617138525504
GBW07313,53.86,59.777887743899733,65.234672153930745,66.256162293375567,61.802451840814612,62.852429886471853
GBW07315,51.1,50.464587163314647,58.560538384929998,56.379425143560248,55.721925842671133,53.334485898050055
GBW07315,51.1,49.438127368345782,55.718477146354736,56.551216687175867,57.247479088778171,56.442542433969038
GBW07315,51.1,48.130059763109116,54.108931074200839,52.165566728633998,52.123930143897077,50.60595704171903
GBW07315,51.1,49.62063623975326,55.912791068125792,55.218963508001139,56.13513135217412,54.427291662054394
GBW07315,51.1,50.835650204391364,58.268362753955863,56.291740469385857,56.132022167579606,53.955600391044285
GBW07316,31.6,35.198512832108158,37.846252226915453,36.43858004501994,32.051911665558094,32.751314427209309
GBW07316,31.6,36.150259505279735,38.871645836416093,35.903015972924408,31.662750966878246,32.27516137722445
GBW07316,31.6,35.147950305879576,38.066237231319661,35.978048641703957,31.569681869512241,32.2062884173302
GBW07316,31.6,34.552468779130336,36.534379103152219,35.659402710362613,31.633797918935109,32.297846171172012
GBW07316,31.6,35.240570437060768,37.440266586350731,36.614675576436426,32.737918099787358,33.332818556390208
GRANODIKE,48.08,48.155580763612321,50.44700076235759,48.016952950908717,47.726092878770338,47.4922149255178
GRANODIKE,48.08,42.711047133631084,48.419164956676795,48.909251921806614,50.298697086793069,48.98988169261137
GRANODIKE,48.08,38.639916103032192,41.153924854652217,44.340624249043081,47.514990130774379,47.476653942768451
GRANODIKE,48.08,50.20628841666425,57.848038674325011,56.500943141752217,56.245309111908782,53.996414113395382
GRANODIKE,48.08,52.17369390351449,59.365251464586429,52.847883071860672,51.863787235688953,51.654610983336312
GUWBM,49.51,44.728607722240277,49.103845721435974,51.82671162590065,51.880318626776017,49.779962276376061
GUWBM,49.51,44.947010091049918,49.8180160684783,52.480772343620345,52.232579457554316,49.731362625577816
GUWBM,49.51,46.502165265326781,51.454334997381061,54.272623000147803,52.983410105991219,50.036854467409093
GUWBM,49.51,46.166702260639397,50.653166543165725,53.897866073336864,52.527862866139237,49.396741975896305
