Sample,Spectrum,Fold,True_Comp,1,2,3,4,5,6,7,8,9,10
GYPD,1,4,1.73,0.81593824429918949,1.8966107633186711,1.9014811193470753,1.8989957332413292,1.8810648765604152,1.9038447768971509,1.8909983510651633,1.8897796098990132,1.9956026336382484,1.9804843281029976
GYPD,2,4,1.73,0.54272157413242605,1.7459256510782641,1.7663471959885428,1.5618571872808991,1.5596118460314989,1.5861829419141054,1.584290790624207,1.6426519099791279,1.6707273373297193,1.7575801054918874
GYPD,3,4,1.73,0.36249762780507666,1.4658202954795416,1.5209483387574989,1.2433293587061176,1.2322695361598794,1.1961703306804348,1.1957113400955011,1.2316778022804038,1.2568057634236363,1.2742162454960777
GYPD,4,4,1.73,0.47741947718067079,1.7421031659638495,1.7716368357628633,1.5216225474071499,1.5323182439453169,1.5609871891803855,1.5587701909648586,1.6173275007688741,1.6433261929805667,1.6658142155106426
GYPD,5,4,1.73,0.40377482297971046,1.5858623300177965,1.6015045978076692,1.4014303172816551,1.405624192785051,1.4290181313113344,1.4325746733287141,1.4945818699410585,1.5158535537220224,1.5745030879327575
JA1,1,5,1.57,1.0499417053264213,1.3606214148532396,1.4276986926363713,1.7028275655905918,1.6807085833004849,1.5969330413865037,1.5968587840750388,1.5825114829126206,1.5881765747104259,1.5797124788414243
JA1,2,5,1.57,1.0533337166296679,1.3384588217172437,1.4121947714572782,1.7002999845066398,1.6772621277126276,1.5811391882961991,1.5532338744488394,1.5277618287876378,1.5201984158545436,1.4431671427817057
JA1,3,5,1.57,1.0359309216403738,1.3535312309202256,1.408252837050106,1.6769606005819238,1.6306691261502348,1.5430318209715934,1.5404674231204918,1.5180822250967265,1.5315350599895583,1.5425181485810064
JA1,4,5,1.57,1.1151052703388769,1.4639736503516962,1.5317766242267867,1.8048593301539035,1.7784711909785793,1.692108276069306,1.6954699752156608,1.6715245222227353,1.6865528021353602,1.6843039536577662
JA1,5,5,1.57,1.0048318550196975,1.3539117042805138,1.4068422782365442,1.6860911457457717,1.6377990328320211,1.5612924908370571,1.5913402609817227,1.5576094578963418,1.5576526157612172,1.5371793085194814
JR1,1,4,0.09,0.53488529737704482,-0.0067830355601745662,-0.25585657325653566,-0.077913131721410789,0.1182938825335389,0.27517887043950928,0.32314684790486092,0.31074973879624079,0.3647654424966329,0.15838100928088572
JR1,2,4,0.09,0.4489911502228372,-0.10705470218449875,-0.38264109155206616,-0.19511325904917398,-0.047164263048282473,0.093312129021802193,0.18119302613703092,0.15788858793475047,0.21605065106466759,0.047250087419977049
JR1,3,4,0.09,0.4552456922300685,-0.11608478313171222,-0.38669252707782009,-0.19698676584032659,-0.024364074353636855,0.1251531270255728,0.22575822629660047,0.20786279624487847,0.25750735126228341,0.042820554645792708
JR1,4,4,0.09,0.42835784985420755,-0.14317285601533003,-0.41286811097933152,-0.20887324941366625,-0.0091531652827034904,0.15954099283333711,0.27376323141762882,0.26379967688767625,0.30857751003117695,0.084259647271053062
JR1,5,4,0.09,0.42634205674781223,-0.087270805510190286,-0.34906243657166725,-0.15119208357326297,0.030499089462606488,0.18636936028431661,0.29881427125945659,0.28638106754491588,0.32912705377962337,0.052166889977452557
MHC2319,1,1,0.01,0.6739425511091669,-0.16025009969396264,0.19612966843851964,-0.045547600843212521,0.13591316075862769,0.013609265607596122,0.054066928815762694,-0.035377700568098414,-0.046986984270712018,-0.084190228144858104
MHC2319,2,1,0.01,0.67087990838760325,-0.21088404133967309,0.13082687585260722,-0.12619608840201701,0.040685277858598434,-0.10500396840999482,-0.071822873919050068,-0.15670228524097096,-0.13190142928247939,-0.087930697556407811
MHC2319,3,1,0.01,0.70115843683530266,-0.16041604631954498,0.23503211178226691,-0.0083693278046754749,0.2471325555021977,0.15386923399289953,0.22588075760995441,0.1592020761028683,0.13814527669188137,0.073936438147685246
MHC2319,4,1,0.01,0.64788846125722876,-0.20775682667539419,0.10739810993276788,-0.11710067757472875,0.08798493222419701,0.013381896255566961,0.03776182017609564,-0.039011026638315904,-0.030491645530593248,-0.057870482742849338
MHC2319,5,1,0.01,0.67847761281234675,-0.16868029465390344,0.19968231998087926,-0.040654513309211993,0.16818018995237161,0.067600751011581472,0.11080501657350261,0.028691677923108116,0.012048443258775965,-0.027882542419916501
MHC3828,1,5,2.67,0.97747104402470242,2.2672159222761037,2.3120254273103069,2.160228013953855,2.2265448838169006,2.3242747517252362,2.3607002972293629,2.4319076070638381,2.4868490380163664,2.5612927106541159
MHC3828,2,5,2.67,0.51349251483216429,1.8335601478276677,1.8560598122368757,1.6170754743039719,1.6447829183692653,1.7025458018957391,1.6709430443279552,1.7210848467662834,1.736115706973864,1.7250851849117514
MHC3828,3,5,2.67,1.0537097407559688,2.4178742804871152,2.4655179819796658,2.3153248907560986,2.3437343425188302,2.4170128844237344,2.4440914269057177,2.4967759736468267,2.546822567943428,2.5193696664075196
MHC3828,4,5,2.67,0.32528708711680077,1.4922714315565628,1.4981405584148455,1.2907578651290375,1.3579724110863227,1.4303761203660526,1.4180951600310321,1.4979710552358561,1.5066838041419448,1.5538626607577826
MHC3828,5,5,2.67,0.95372735492444638,2.2199925381540768,2.2629936820026182,2.1414590306981061,2.2059018170076463,2.2972337343560136,2.3326933816965738,2.4011583160809935,2.4546107913539057,2.5258725761697445
MSHA,1,1,1.97,1.2104838757940217,1.6809690684622107,1.6656434153992654,1.9001339630444702,1.854560355242298,1.8412401870811557,1.8882918498186163,1.8348655080679559,1.8429916722662749,1.7971464223551337
MSHA,2,1,1.97,1.368992424870678,1.8863636740339123,1.8855456613667614,2.1226700892154127,2.1116727589895508,2.10725209170183,2.1391043039146496,2.0880387180859636,2.115029670291801,2.0536041965040597
MSHA,3,1,1.97,1.1951460068946003,1.540469029868498,1.5280155531409032,1.769232710032016,1.7521097780355765,1.7350114157877261,1.7714374190753168,1.7118968087369912,1.7164206363786909,1.6532717268340618
MSHA,4,1,1.97,1.0848997087869439,1.456887291879124,1.4187350266548953,1.6104838435209659,1.5708761585103803,1.5702106958020652,1.5961149055172286,1.5497435827596204,1.5527845183972981,1.6117251841780573
MSHA,5,1,1.97,1.123104996923209,1.4412275732499948,1.4075213149391339,1.5993627302401749,1.5787389533274259,1.5815763207408651,1.6104248836179875,1.5733377850910117,1.5807819550089122,1.6596718489309521
NAU2,1,1,0.77,0.9975483486817045,0.73291372561426116,0.9407383209100405,0.94094243116602039,1.076167450572453,0.99228683337486545,1.2022790219839494,1.1848707467477455,1.2432160855982852,1.170270040098871
NAU2,2,1,0.77,1.0435496776673614,0.72753589978937916,0.92692386572714647,0.89423635930496082,1.0405004204770028,0.9410494818367362,1.129781658368272,1.1124699819031247,1.1885008104072274,1.108025864156799
NAU2,3,1,0.77,1.0100074956545133,0.67953997465698213,0.94271692336420421,0.90080896385765918,1.0193942251703754,0.91967440789884625,1.0190460837035142,0.93768637307233116,0.95706941253513611,0.72432319283359803
NAU2,4,1,0.77,1.0299243876323425,0.75557302543565685,1.0242747270168586,0.9550837547956984,1.024648489086871,0.8889739780070921,1.0007958786896469,0.89900172025918423,0.92439380642792446,0.72276190330469048
NAU2,5,1,0.77,1.0863805587134729,0.82849834072397033,1.0880322896582322,1.0805548520200552,1.1909774037680918,1.0443455357356499,1.1613423076920866,1.1375440315429084,1.1929677395065656,1.1461230060739274
NAU2LOS,1,7,2.97,1.1166444607630406,1.3702414702018295,1.6262922639112352,1.7020685149584254,1.8023558885499096,1.6528365041412463,1.8403252052451409,1.8340558872309982,1.9214129719433115,2.1028943265013922
NAU2LOS,2,7,2.97,1.1345829612108658,1.3571230310234816,1.6073595514291132,1.66316971310978,1.7631178662615468,1.612555762460417,1.7854122634263032,1.7845345026734187,1.8734657539986357,2.0693824654067514
NAU2LOS,3,7,2.97,1.1065606560474581,1.4005612756540797,1.6420523303052963,1.7108878631312439,1.8016059848367325,1.656258955974909,1.8283779933846769,1.8285139785238942,1.9173946909270925,2.1451105079347057
NAU2LOS,4,7,2.97,1.1149806974804553,1.3204979232905729,1.5696493191043808,1.6373680268810693,1.7431962546328137,1.5960935398876133,1.7749984566646075,1.7718095820769011,1.8578002969732492,2.0473178406049044
NAU2LOS,5,7,2.97,1.1092906191108105,1.312084705268119,1.5666431976774617,1.6488081103908707,1.7667582074022183,1.6215083668894628,1.7960740501471308,1.8003478408543194,1.8819330156077605,2.077671780312635
NAU2MEDS,1,1,2.05,0.76826744244648382,1.2188476274880078,1.4174795636972088,1.5877340721883055,1.7252409937249003,1.6517754991985645,1.9333512976671718,1.9538239886128579,2.0337930870383083,2.035421946560771
NAU2MEDS,2,1,2.05,0.85254775232573854,1.1774999210079,1.3757387131800685,1.4785930687865008,1.6154336653355332,1.5309234951054265,1.8037902816919777,1.8238354793519851,1.9169721516285547,1.9447715921472881
NAU2MEDS,3,1,2.05,0.74108906314496148,1.1582114293221797,1.3714156190954039,1.4605455494598121,1.5912810053087199,1.4944561213184839,1.7550130425719519,1.7812993747672805,1.870506705665157,2.0058653721437376
NAU2MEDS,4,1,2.05,0.70408556927594712,1.1245188631344329,1.3215861945658158,1.4854875387592963,1.6191585171481913,1.5390486100495151,1.8126488421850011,1.8298149851388412,1.9082476194685105,1.9307358758307678
NAU2MEDS,5,1,2.05,0.65544099953003843,1.2022689650507938,1.400209085141132,1.544096526728451,1.6454474933410113,1.591143356068859,1.8418781419902532,1.861702639507741,1.9339601708805749,1.9326984166031109
SARM51,1,7,0.92,1.2371209463773249,0.94620476954238797,1.213075229261428,1.1662059168350778,1.2164617734129881,1.1034128452057526,1.2699804878432459,1.3427796932152671,1.3414516128803387,1.2728301951387615
SARM51,2,7,0.92,1.2358285125527015,0.98447588793774987,1.2710993129183632,1.2379860517404022,1.2681470690180954,1.1409236545064374,1.3198682730916884,1.384681637194515,1.3802597838339326,1.3158472076137859
SARM51,3,7,0.92,1.2694636338169591,1.0214122065768394,1.3004680810890741,1.2690587477083806,1.3122431868327129,1.171911087489151,1.3449370826138374,1.4132863239659725,1.4118320447821235,1.3323760031045917
SARM51,4,7,0.92,1.2687391900357579,0.98035534094751198,1.2457928915450285,1.163635176663246,1.1765681494159246,1.0424334464250578,1.125959707748851,1.1736288039547398,1.1771516688492014,1.2265663369081345
SARM51,5,7,0.92,1.2680166196575455,0.9556277852051468,1.2083494890039492,1.2760969042288748,1.4219747681258366,1.2704359762985526,1.2625923203764744,1.3774947444256427,1.3509860113722947,1.1712654725419074
SRM97A,1,7,0.15,0.85501186325874179,0.11734477688111933,-0.20211581108182086,-0.15038809136770981,-0.22199534036333723,-0.15918835508864904,0.016579741044700835,0.3609909901006505,0.28752931405873272,0.14430120828250814
SRM97A,2,7,0.15,0.84417871827613489,0.094856580923987188,-0.21886604144283717,-0.15986588667891444,-0.20883264005341684,-0.14148692096544391,0.015465391304505527,0.36172976514421373,0.28926977083805561,0.13312760146392666
SRM97A,3,7,0.15,0.8708041721727936,0.13487140096607431,-0.16001979178600267,-0.051594007787032492,-0.085774997047528112,-0.023047336761168324,0.08479615888037495,0.44812514101203238,0.36393846322553891,0.20529647952566776
SRM97A,4,7,0.15,0.83322648674181676,0.093115632395949222,-0.22446529811807725,-0.16947527473186841,-0.21946088012680209,-0.15248225741663379,0.026092485507858143,0.36672547052969051,0.29759725017694261,0.11109010189411905
SRM97A,5,7,0.15,0.85806294615611067,0.11571434156020421,-0.19832729122506021,-0.12948445402069764,-0.18217543836898198,-0.11519833631935228,0.046547219832612008,0.39749188320202022,0.32453076848560491,0.15523783264056257
SRM98A,1,4,0.42,1.2024206395209598,0.78577533372832975,0.54809526663779762,0.61082545871187277,0.4212703800844142,0.39880224680655885,0.48932743809016399,0.70626524985646466,0.61923785607661619,0.47983343515638976
SRM98A,2,4,0.42,1.1631741690127773,0.71934588550074696,0.45318790146143728,0.51429800060891062,0.3260193992307836,0.33175762508246054,0.47818230347698187,0.70650776105634483,0.63161569452681887,0.48452959610183743
SRM98A,3,4,0.42,1.2073459139898226,0.78867157721020431,0.53138430226964783,0.59027634539335905,0.39641058109178773,0.35855757892198881,0.44275875687193356,0.65572714840765001,0.57275919889395954,0.42184551592541553
SRM98A,4,4,0.42,1.1796255017113826,0.75550075258811111,0.5144017993524308,0.60648354140794203,0.44076085044747737,0.42422640896708463,0.5013923391278583,0.73303850766964695,0.64104380535227001,0.51348264634100405
SRM98A,5,4,0.42,1.1973685826355696,0.81372960803334482,0.57205734382988149,0.63360148634721614,0.39551152487600527,0.3516872630510286,0.45504145899409143,0.6948166911415824,0.60446049315290529,0.69159591353674321
TROND,1,1,0.47,0.89002372135912922,1.0679798031579435,0.9085464529983861,1.188304166238924,1.0641063147774441,0.99487335577389113,0.90899171071913487,0.79161076786958573,0.77667486790301687,0.67074454826093211
TROND,2,1,0.47,0.92040843038750708,1.0524529983848265,0.88621009100516068,1.1182171331758555,0.97854974000693229,0.92042626863043586,0.85583840331204064,0.73171813743777248,0.73434128166817858,0.68081479175611925
TROND,3,1,0.47,0.8940234277269461,1.0145381548508379,0.83397725227242603,1.0383517446502299,0.87510205552949916,0.80931543352228608,0.75318600882438791,0.6260314984910138,0.63214747294124429,0.62406391363135849
TROND,4,1,0.47,0.86034635132597836,0.98987242883617854,0.83850618587763392,1.0283733130252,0.89122315756355075,0.8444010976918922,0.77359959812780843,0.67597309416486784,0.67325212772021903,0.79753814158983316
TROND,5,1,0.47,1.1352262160722604,1.2951716925574828,1.138899976517155,1.2852545035710339,1.0967496564738852,1.0090223636927633,0.95884562487247804,0.85787708098087379,0.85837251420709515,0.81351664513600663
UMPH,1,4,0.97,1.478956363601639,1.6156945993041036,1.6425548374117003,1.902085370913889,1.9084575329712605,1.8694550469445059,1.8162202764261219,1.8081594817535189,1.8107061271704314,1.7961453138313321
UMPH,2,4,0.97,1.357102001931032,1.1508204043668566,1.3575069892323117,1.4298340121590858,1.5149161418582739,1.4634036065131226,1.5870672031069379,1.5737778140920149,1.5625053704741947,1.5785648665967271
