Sample,True_Comp,1,2,3,4,5,6,7,8,9,10
GBW07108,15.6,24.909851857360501,14.350415316581518,14.388265560580223,10.198030445963781,11.794710974854624,13.574979433518628,11.809378304505429,13.946772088800245,14.08580507025578,14.637595165198356
GBW07110,63.06,59.94416148444175,68.140755163757603,66.411477744660417,65.99694552098947,66.401372503010791,65.763168192475575,63.636757351363094,65.325934118615265,64.325406448591011,63.289705716487383
GBW07110,63.06,59.264951285237274,66.580631380234962,63.048195757743294,63.754965828447865,63.83218963409378,63.196898680320565,61.183066543754641,62.637508087014183,61.540390472798592,60.65671578182441
GBW07110,63.06,58.880973327138648,67.783265996180873,66.709366691258623,66.710811041847194,67.091553763887362,66.45820470811465,64.130955283595299,65.947041144148969,64.6249152453275,63.667323734739504
GBW07110,63.06,59.330081481639944,67.536286495208984,64.728839862317429,63.943522235750578,63.97251897971605,63.249135520643478,60.87439723766871,62.674777897833067,61.954516453345143,61.32106369223915
GBW07110,63.06,58.104222901858641,66.502297699120646,62.002307466425812,62.392798968459509,62.219518486881825,61.702915556415626,59.806417208943728,61.878273031812313,61.576232900665687,61.306301973678636
GBW07113,72.78,68.620702674534201,78.865290692937847,77.67754322328733,76.020535548485753,75.529318682319456,75.831106889450609,74.797887330609313,77.025972935421763,75.271432835445609,73.770187738947357
GBW07113,72.78,69.099290892639729,79.265782272866602,78.9472222560006,77.393707704699338,76.814964573169249,77.032165613955016,75.839906434062044,78.174907665245499,76.056881077431484,74.682540664679181
GBW07113,72.78,70.328896812371084,80.622623550706635,80.285409886015728,77.953335098485468,77.286781586389083,77.631867277656937,76.623488460841969,78.899584038982098,77.253298730843994,75.80821866342464
GBW07113,72.78,69.212620751304257,78.957514483737853,78.241732448490637,76.393788155574072,75.622420581649322,75.78961723338918,74.942182729316187,77.23502778243278,75.175657984037912,74.040938464208949
GBW07113,72.78,68.755890699792872,79.25181663902265,78.619498888883498,76.655556317252092,76.17126593405159,76.427381303884047,75.050913106223391,77.369787558286731,75.814873654291247,74.447449743418559
GBW07114,0.58,24.140811264906745,7.0493694425961095,12.998501458205645,6.8276578302056947,6.4981039833729,5.6720631592236117,5.8310477075644371,4.3836676814665054,2.629097175348825,0.83717588453859548
GBW07114,0.58,22.064233947059911,5.7963053060193772,12.299253159933542,7.377512687996159,7.2871301989209982,6.3302556577445301,5.9136341829748602,4.4904843659952789,2.7539177084743329,0.92365633454713247
GBW07114,0.58,22.013028425727931,5.7847099195692948,12.398040264180395,7.4960483007452865,7.3234708629942915,6.3340870940209371,5.8227309071597375,4.4143848037468985,2.5659652336324399,0.76875571833544143
GBW07114,0.58,21.575581432850207,5.2888660781346104,11.83778193019279,6.8253944305174628,6.7414320548613631,5.8104835348428736,5.3310124700204398,3.963750323146229,2.2611374449247137,0.36772862472378165
GBW07114,0.58,22.157429615731971,5.9224997165979403,12.761082029882822,7.7132788386328315,7.4356872245882002,6.3860090339556095,5.8708497893264564,4.5082281879247148,2.5507808670607233,0.85147817463320763
GBW07216A,0.049,22.398774902374541,6.5484448184697399,11.306715759145469,5.6182629624175959,5.8401586213666405,5.7431801667908573,5.5663494753882077,4.4643654056422264,2.5192164674415665,1.2126480077442494
GBW07216A,0.049,22.170749847044092,6.1104761513609702,10.875175615490988,4.7388660870816608,4.7826199753581804,4.5761977147107729,4.3495347126557036,3.2448123063689707,1.1857912273154341,-0.20943981667893752
GBW07216A,0.049,22.083642250024234,6.0959212066766781,11.141401960794823,5.0566482942737139,5.1023448999322483,4.8434867357767359,4.5761397469417204,3.495886779060136,1.3170709099320703,-0.01806600319937246
GBW07216A,0.049,24.100208475273995,8.1301689156642354,10.741117306967318,4.8516320803102602,5.1924550189676708,5.6842195327620217,5.8429044185219396,4.3002395020729907,2.8613323306401952,0.43654052401717536
GBW07216A,0.049,22.195227839548679,6.3723521311808469,11.257637866820161,5.4544766371153841,5.506817478035714,5.2801861509650507,4.9205781634967991,3.7717828320187081,1.7922160720993787,0.49777669926822199
GBW07217A,0.95,20.857370549022875,5.2660130017708013,12.986415542808672,8.2127549854157991,8.0509046609376682,6.8101724120599272,5.7251789524943888,3.9667059586875126,0.93243676333551662,-0.42213815002416766
GBW07217A,0.95,24.526219089198328,8.9860608425337745,15.305734625440316,10.212362167276623,9.7820750435048964,9.0316619514188474,9.0312426674109076,7.5999538971352436,5.6077609120485192,4.6846153567408919
GBW07217A,0.95,31.213372853622033,14.472266169154054,13.562805300731739,5.8018851904295872,5.4164456070591598,6.538513755617501,8.3671739501749016,6.3757661814636251,6.6549685238485594,3.3747407554179389
GBW07217A,0.95,21.643999878933997,5.5222715823322659,13.189982523073922,8.1088598107100154,8.0279185267911544,6.7268518508762085,5.6530981400776454,3.3043465382982902,0.12683812579777509,-1.7883089868997644
GBW07217A,0.95,24.99839021199373,9.152036454472821,16.303012121657581,10.866138437761478,10.306443277032329,9.2666551310029206,9.0827894007406513,7.3727715383062531,4.2741721036616696,3.2635686095684093
