Sample,True_Comp,1,2,3,4,5
GBW07104,60.62,51.611051473634824,60.509319920951086,57.638584033384348,54.216124318464544,55.006880228681126
GBW07104,60.62,50.193954843460688,58.92402728993558,59.577979139180471,57.750835016614829,58.233372401290708
GBW07104,60.62,50.476772348542745,60.120459299727436,60.918132592435001,58.912263909532243,59.565821053481258
GBW07108,15.6,25.942212943810425,15.526547568715841,15.35418571100071,11.547381555326126,13.035013432159943
GBW07108,15.6,26.115420121337799,15.8386413239162,15.229157836712318,11.700985904974395,13.432470025775416
GBW07108,15.6,24.284896689211486,13.425689855220192,13.033078982955566,8.337508115192513,9.9507892754199503
GBW07108,15.6,26.752308145645735,17.467323625773929,17.456325456849655,14.83322722489568,16.528387430005566
GBW07108,15.6,24.909851857360501,14.350415316581518,14.388265560580223,10.198030445963781,11.794710974854624
GBW07110,63.06,59.94416148444175,68.140755163757603,66.411477744660417,65.99694552098947,66.401372503010791
GBW07110,63.06,59.264951285237274,66.580631380234962,63.048195757743294,63.754965828447865,63.83218963409378
GBW07110,63.06,58.880973327138648,67.783265996180873,66.709366691258623,66.710811041847194,67.091553763887362
GBW07110,63.06,59.330081481639944,67.536286495208984,64.728839862317429,63.943522235750578,63.972518979716057
GBW07110,63.06,58.104222901858641,66.502297699120646,62.002307466425812,62.392798968459509,62.219518486881825
GBW07113,72.78,68.620702674534201,78.865290692937847,77.67754322328733,76.020535548485753,75.529318682319456
GBW07113,72.78,69.099290892639729,79.265782272866602,78.9472222560006,77.393707704699338,76.814964573169263
GBW07113,72.78,70.328896812371084,80.622623550706635,80.285409886015728,77.953335098485468,77.286781586389083
GBW07113,72.78,69.212620751304257,78.957514483737853,78.241732448490637,76.393788155574072,75.622420581649322
GBW07113,72.78,68.755890699792872,79.25181663902265,78.619498888883498,76.655556317252092,76.171265934051604
GBW07114,0.58,24.140811264906745,7.0493694425961095,12.998501458205645,6.8276578302056947,6.4981039833729
GBW07114,0.58,22.064233947059911,5.7963053060193772,12.299253159933542,7.377512687996159,7.2871301989209982
GBW07114,0.58,22.013028425727931,5.7847099195692948,12.398040264180395,7.4960483007452865,7.3234708629942986
GBW07114,0.58,21.575581432850207,5.2888660781346104,11.83778193019279,6.8253944305174628,6.7414320548613631
GBW07114,0.58,22.157429615731971,5.9224997165979403,12.761082029882822,7.7132788386328315,7.4356872245881931
GBW07216A,0.049,22.398774902374541,6.5484448184697399,11.306715759145469,5.6182629624175959,5.8401586213666334
GBW07216A,0.049,22.170749847044092,6.1104761513609702,10.875175615490988,4.7388660870816608,4.7826199753581804
GBW07216A,0.049,22.083642250024234,6.0959212066766781,11.141401960794823,5.0566482942737139,5.1023448999322483
GBW07216A,0.049,24.100208475273995,8.1301689156642354,10.741117306967318,4.8516320803102602,5.1924550189676637
GBW07216A,0.049,22.195227839548679,6.3723521311808469,11.257637866820161,5.4544766371153841,5.506817478035714
GBW07217A,0.95,20.857370549022875,5.2660130017708013,12.986415542808672,8.2127549854157991,8.0509046609376753
GBW07217A,0.95,24.526219089198328,8.9860608425337745,15.305734625440316,10.212362167276623,9.7820750435048964
GBW07217A,0.95,31.213372853622033,14.472266169154054,13.562805300731739,5.8018851904295872,5.4164456070591598
GBW07217A,0.95,21.643999878933997,5.5222715823322659,13.189982523073922,8.1088598107100154,8.0279185267911544
GBW07217A,0.95,24.99839021199373,9.152036454472821,16.303012121657581,10.866138437761478,10.306443277032329
GBW07305,56.44,51.7440212998833,51.41133880128033,52.082852291279941,56.311988784662873,55.060846420843866
GBW07305,56.44,50.902521852033885,50.82148802194066,51.847294816318247,56.607270420293069,55.371302274826355
GBW07305,56.44,50.923930049276734,50.635949712138583,50.838827810777126,55.463337353391694,54.223830625158811
GBW07305,56.44,50.799849856996111,50.66404475243656,51.766412565578591,56.339416889213901,55.012324883617254
GBW07305,56.44,51.279907798679588,50.826128145779393,51.777428052559074,56.341857321854988,54.908107103834141
GBW07306,61.24,52.738674030668022,56.521647640510515,57.536624923476808,58.799841948626153,59.488573706884544
GBW07306,61.24,52.2236833001135,55.874044873011876,54.253694013897103,55.581991453660009,55.953376069492812
GBW07306,61.24,51.415062272688395,55.38622154560332,55.822916421373215,56.794469861171592,57.558834609152171
GBW07306,61.24,53.998840554450787,58.879712575565136,60.617412379234963,60.783983861302019,61.570828989785625
GBW07306,61.24,53.16014956084296,56.937093735789119,59.498820221536427,60.071137269907886,60.395758177334109
GBW07311,76.2567,67.828678162442912,69.529743682909427,72.605705865067037,73.915761405941325,72.810231518577197
GBW07311,76.2567,67.239289005198543,70.059142888733234,74.263106242443158,75.093627179781947,73.818368753278776
GBW07311,76.2567,67.49708072871384,67.722431463237058,68.217882218446505,68.125142695533114,66.815927658291557
GBW07311,76.2567,67.803622990045511,69.467019127804321,71.477951898901722,70.758880710293624,69.268529848151445
GBW07311,76.2567,69.240022308533895,70.668809762510236,73.846858942989428,72.515893447871235,70.656552190663604
GBW07312,77.29,61.603437101772634,65.854344900345836,67.815979052022229,70.951756131415209,69.532211976999875
GBW07312,77.29,62.167467305692007,66.408422531553441,67.827244506656569,70.526816770261817,69.617388238526317
GBW07312,77.29,63.353784467411508,67.064990549621456,68.909944629018952,71.34100254025816,69.91283702641357
GBW07312,77.29,62.386798043015261,66.547968290352514,68.47366146641977,70.287841493525292,69.210790564847073
GBW07312,77.29,62.740680324492153,67.380489450681523,70.017010251968344,72.017329575049672,70.79295103407253
