Sample,True_Comp,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
CADILLAC,72.2,70.950067931017202,73.804800766820165,74.240995743680145,73.042441507321684,74.047885688892208,70.930007870489021,72.000060563966514,70.069661121932583,68.74697057667305,68.008880520483899,67.146476422392354,68.397217602251786,68.857090136076891,69.139464230252869,69.984755192865208,69.271153869572956,69.353205787952888,69.126662054066259,68.867425564388867,69.648862033048417
CADILLAC,72.2,67.196767044064799,70.319158281732612,69.993781537445997,70.731405915988717,72.319500317522724,70.626301904565551,71.850612780295123,70.382193352979627,70.281502356737434,70.296394930078719,70.124834666108711,71.806732524952238,72.366366460813737,72.558655301543652,73.035243614517611,73.14889474681452,72.851358898982056,72.844082909367046,72.762339574182135,72.564441912848707
CADILLAC,72.2,69.817435500317586,72.744344932565141,72.985352197618809,72.999939362839498,74.261340537629266,72.296924413834432,73.574651634781134,72.09157097512562,71.979510190423255,71.803565055479268,71.492395756883482,73.055494583740639,73.546158618607976,73.825368070566995,74.311445451942532,74.085188959473754,74.047670843670403,74.03334568662261,73.999686220769362,74.133554498308172
CADILLAC,72.2,73.697783207849938,76.754025023666941,77.854853869603801,77.598642141368671,78.929729824240965,76.947410131905457,78.247507614884739,76.433838214885725,75.753175501918278,74.870699865835434,74.265963660489646,75.915850283417655,76.222565187502951,76.492019820060975,77.194021904489304,76.811938875889837,76.970472631352337,76.74067051581595,76.65160599572198,77.298539618777255
CADILLAC,72.2,67.995660137729857,71.025146787764697,70.809763255617213,70.696275376287417,72.228351615414823,70.712514462254319,71.925263032771497,70.5001666215406,70.339351638285066,69.888717024634857,69.325916173932626,70.881965481679501,71.194594664195407,71.221226350802937,71.703446947328374,71.955204129601043,71.991651219124037,72.061636236333285,72.267423933464883,72.145875739309943
GBW07103,72.83,66.584093181289305,69.13749916755107,69.278257592311078,70.682561835341005,71.19838976137558,69.718685330564767,70.972357849370368,71.272198621175804,70.600077009918365,70.261704703951381,69.740207285398554,70.523750505814661,70.460321586206419,70.470760496459334,71.095951132065849,70.982583976671592,70.616694659573028,70.459741231681107,71.422743774620997,71.500632199871674
GBW07103,72.83,68.227493756655633,71.104570070975029,71.654492053072673,72.737369572532202,72.706092898107485,70.972629978743001,71.897472395322325,71.628134937199164,70.405795901316083,69.543914004241827,69.274055704064907,70.629325199058428,70.50750449744433,70.646305990465166,71.5220847027079,71.220855093512299,70.780040707755788,70.489483426732463,71.096495727781459,71.487752971215457
GBW07103,72.83,68.10495552350551,71.050546778110601,71.627054689719017,72.791969085950285,72.920770358799373,71.291685473078587,72.407193247313458,72.608535407029564,71.653705734169691,71.117150527007396,70.85993551328157,72.14868037444343,72.121199299222752,72.166649038764206,72.953446728593519,72.753937654712217,72.403322271680636,72.155164413937399,72.798256277997709,73.226275266011612
GBW07103,72.83,67.418054102700808,69.975573547814875,70.500150325964199,71.896978766979586,72.215814328953897,70.21496922038655,71.400384840691288,70.965006382141652,69.498896710660361,68.920807160164131,69.009938189723101,70.4715529247147,70.348275955324411,70.607661808050452,71.494429969506285,71.19686675231506,70.616622461095872,70.295008655764548,70.753599299769121,71.233702233772064
GBW07103,72.83,68.870962546108288,71.168741870094237,71.871875526973099,73.951955125821115,74.978244364436335,73.79668339129293,75.032982476669943,73.910592774645764,73.865896047526292,73.481468475035797,73.062942635150918,74.269933650014437,74.282669981964588,74.330695615038437,74.636709954947747,74.689711388219138,74.187709130253737,74.325076374213054,75.4455314916557,75.78727241055428
